Federal States,avg_abitur_graduation_rate
Hamburg,54.24523456967322
Berlin,43.28447092673861
Brandenburg,40.182323641394
Nordrhein-Westfalen,38.5895213645844
Bremen,37.32997088213473
Mecklenburg-Vorpommern,34.34938184664562
Rheinland-Pfalz,33.98267875622284
Schleswig-Holstein,33.97258531794397
Saarland,33.65534869982298
Thüringen,32.85486006493966
Hessen,32.747806071506666
Sachsen,30.95182413337182
Niedersachsen,30.60428169923028
Baden-Württemberg,30.086214045032776
Bayern,28.895290017225904
Sachsen-Anhalt,28.264785459722734
