Land;BW;BY;BE;BB;HB;HH;HE;MV;NI;NW;RP;SL;SN;ST;SH;TH
Zahl der Prüfungen;51.724;44.930;18.510;10.151;3.013;9.822;25.317;5.321;34.256;87.091;18.440;3.549;12.772;5.864;14.672;6.750
- bestanden;50.150;43.342;17.402;9.735;2.839;9.311;24.408;4.949;32.699;84.040;17.977;3.460;12.380;5.579;14.009;6.608
- nicht bestanden (abs.);1.574;1.588;1.108;416;174;511;909;372;1.557;3.051;463;89;392;285;663;142
- nicht bestanden (%);3,0;3,5;6,0;4,1;5,8;5,2;3,6;7,0;4,5;3,5;2,5;2,5;3,1;4,9;4,5;2,1
Notenmittel;2,42;2,31;2,41;2,27;2,47;2,43;2,41;2,32;2,57;2,45;2,49;2,37;2,28;2,31;2,56;2,18
Note;Verteilung in %;;;;;;;;;;;;;;;
1,0;1,6;2,0;1,7;2,4;1,9;1,6;2,0;2,1;0,9;1,8;1,2;2,0;2,1;2,2;0,8;2,6
1,1;0,9;1,2;1,2;1,4;1,2;1,0;1,2;1,7;0,6;1,1;1,0;1,0;1,3;1,5;0,7;1,8
1,2;1,3;1,7;1,5;2,1;1,2;1,3;1,5;1,6;1,0;1,4;1,3;1,6;1,7;2,2;0,8;2,4
1,3;1,7;2,0;1,8;2,4;1,9;2,1;1,9;2,2;1,2;1,8;1,4;2,1;2,1;2,3;1,1;3,3
1,4;2,1;2,5;2,4;2,7;2,1;2,1;2,2;2,7;1,5;2,1;1,9;2,0;2,8;2,3;1,4;3,5
1,5;2,6;3,0;2,6;3,6;2,1;2,5;2,7;3,0;1,9;2,5;2,2;2,6;3,4;2,9;1,7;3,8
1,6;2,9;3,6;2,9;3,5;3,0;3,2;3,0;3,7;2,3;2,8;2,7;3,2;3,5;3,5;2,2;4,4
1,7;3,3;3,8;3,5;3,9;2,6;3,3;3,5;3,8;2,6;3,2;3,0;3,8;4,3;4,2;2,6;4,6
1,8;3,8;4,4;3,7;4,3;3,2;3,8;3,9;4,2;2,9;3,5;3,4;4,5;4,8;4,1;2,8;5,2
1,9;4,3;4,8;4,0;4,6;3,6;3,9;4,0;5,0;3,3;3,8;3,8;4,2;5,1;4,7;3,1;5,3
2,0;4,5;5,1;4,4;5,3;4,1;4,2;4,1;4,8;3,4;3,9;4,2;4,3;5,3;4,6;3,7;5,2
2,1;4,7;5,0;4,5;5,0;4,0;4,5;4,5;4,3;4,0;4,2;4,5;4,2;5,5;4,6;4,2;6,0
2,2;5,0;5,7;5,1;5,7;5,1;5,1;4,7;4,8;4,4;4,8;4,7;4,5;5,3;5,6;4,5;5,6
2,3;5,3;5,7;4,9;5,7;4,7;5,0;4,9;5,1;4,7;4,8;5,0;5,3;5,9;5,7;4,6;5,9
2,4;5,3;5,9;5,3;5,6;4,8;5,1;5,3;5,6;4,9;5,0;5,0;5,7;5,6;5,3;5,1;5,4
2,5;5,5;6,2;5,4;5,3;5,1;5,3;5,4;5,3;5,4;5,4;5,7;5,3;5,6;5,6;5,9;5,4
2,6;5,5;5,5;5,7;5,5;5,6;5,0;5,6;5,2;5,5;5,4;5,7;5,3;5,9;5,0;6,0;5,3
2,7;5,5;5,5;5,6;5,6;5,5;5,9;5,4;6,0;5,7;5,3;5,4;6,4;5,1;5,9;6,2;5,1
2,8;5,5;4,8;5,4;5,6;6,0;5,6;5,6;5,2;6,1;5,4;5,5;6,4;5,3;5,0;6,4;4,5
2,9;5,3;4,8;5,4;4,5;5,4;5,2;5,1;5,5;6,5;5,6;5,2;5,6;4,3;4,7;6,3;3,9
3,0;5,2;4,4;5,0;4,6;5,5;5,3;5,1;4,8;5,9;5,0;5,4;5,4;4,1;4,7;6,0;2,8
3,1;4,7;3,6;5,0;4,0;5,0;4,9;4,8;4,3;5,9;5,0;5,0;4,9;3,7;4,4;5,7;2,4
3,2;4,1;3,3;4,3;2,9;4,9;4,4;4,3;3,9;5,7;4,7;5,1;4,3;2,8;3,6;5,7;2,4
3,3;3,5;2,5;3,6;2,0;4,4;3,9;3,4;2,3;4,8;4,1;4,2;2,6;2,1;2,3;4,4;1,5
3,4;2,8;1,5;2,6;1,2;2,7;3,1;2,7;1,7;4,0;3,3;3,1;1,8;1,4;1,9;3,4;0,9
3,5;1,9;0,9;1,6;0,5;2,6;1,6;1,6;0,8;2,9;2,3;2,4;0,7;0,7;0,7;2,5;0,4
3,6;0,9;0,4;0,7;0,2;1,3;0,8;1,0;0,2;1,5;1,2;1,3;0,2;0,2;0,1;1,3;0,1
3,7;0,3;0,1;0,2;0,0;0,3;0,3;0,3;0,1;0,6;0,5;0,6;0,1;0,1;0,0;0,6;0,1
3,8;0,1;0,0;0,0;0,0;0,1;0,1;0,1;0,0;0,1;0,1;0,2;0,0;0,0;0,0;0,2;0,0
3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,1;0,0
