,Federal States,Examinations Total,Passed Examinations,Failed Examinations,year,Pass Rate
0,BW,47635,46277,1358,2010-01-01,97.14915503306393
1,BY,39196,38840,356,2010-01-01,99.09174405551587
16,BW,49671,48333,1338,2011-01-01,97.30627529141753
17,BY,74205,72750,1455,2011-01-01,98.0392156862745
32,BW,75286,73513,1773,2012-01-01,97.6449804744574
33,BY,42467,40797,1670,2012-01-01,96.06753479172063
48,BW,49486,48105,1381,2013-01-01,97.20931172452815
49,BY,42764,41355,1409,2013-01-01,96.70517257506313
64,BW,49665,48228,1437,2014-01-01,97.10661431591664
65,BY,42658,41239,1419,2014-01-01,96.67354306343476
80,BW,52400,51101,1299,2015-01-01,97.52099236641222
81,BY,43564,42032,1532,2015-01-01,96.48333486364888
96,BW,52592,51197,1395,2016-01-01,97.34750532400365
97,BY,43833,42495,1338,2016-01-01,96.94750530422284
112,BW,51724,50150,1574,2017-01-01,96.95692521846725
113,BY,44930,43342,1588,2017-01-01,96.46561317605163
128,BW,51152,49339,1813,2018-01-01,96.45566155771034
129,BY,43875,42291,1584,2018-01-01,96.38974358974359
144,BW,48937,47436,1501,2019-01-01,96.9327911396285
145,BY,43073,41392,1681,2019-01-01,96.0973231490725
160,BW,45903,44975,928,2020-01-01,97.97834564189705
161,BY,39144,38104,1040,2020-01-01,97.34314326589003
176,BW,43507,42464,1043,2021-01-01,97.60268462546257
177,BY,40698,39463,1235,2021-01-01,96.96545284780579
192,BW,43507,42464,1043,2022-01-01,97.60268462546257
193,BY,39715,38463,1252,2022-01-01,96.8475387133325
