,Federal States,Examinations Total,Passed Examinations,Failed Examinations,year
0,BW,47635,46277,1358,2010-01-01
1,BY,39196,38840,356,2010-01-01
2,BE,13614,12955,659,2010-01-01
3,BB,10268,9916,352,2010-01-01
4,HB,3017,2904,113,2010-01-01
5,HH,13087,12733,354,2010-01-01
6,HE,23119,22554,565,2010-01-01
7,MV,5802,5581,221,2010-01-01
8,NI,31561,30296,1265,2010-01-01
9,NW,76662,75049,1613,2010-01-01
10,RP,15887,15710,177,2010-01-01
11,SL,3386,3315,71,2010-01-01
12,SN,9167,8830,337,2010-01-01
13,ST,5236,4850,386,2010-01-01
14,SH,10699,10590,109,2010-01-01
15,TH,6648,6536,112,2010-01-01
16,BW,49671,48333,1338,2011-01-01
17,BY,74205,72750,1455,2011-01-01
18,BE,13115,12428,687,2011-01-01
19,BB,7376,7111,265,2011-01-01
20,HB,3402,3251,151,2011-01-01
21,HH,8191,7826,365,2011-01-01
22,HE,23883,23169,714,2011-01-01
23,MV,3475,3327,148,2011-01-01
24,NI,49274,47507,1767,2011-01-01
25,NW,79240,77847,1393,2011-01-01
26,RP,16138,15914,224,2011-01-01
27,SL,3353,3269,84,2011-01-01
28,SN,7988,7673,315,2011-01-01
29,ST,4551,4309,242,2011-01-01
30,SH,11054,10785,269,2011-01-01
31,TH,5102,5030,72,2011-01-01
32,BW,75286,73513,1773,2012-01-01
33,BY,42467,40797,1670,2012-01-01
34,BE,18695,17965,730,2012-01-01
35,BB,10193,9793,400,2012-01-01
36,HB,4519,4281,238,2012-01-01
37,HH,8583,8238,345,2012-01-01
38,HE,25472,24796,676,2012-01-01
39,MV,3691,3526,165,2012-01-01
40,NI,34589,32682,1907,2012-01-01
41,NW,84703,83092,1611,2012-01-01
42,RP,16683,16456,227,2012-01-01
43,SL,3542,3439,103,2012-01-01
44,SN,8070,7819,251,2012-01-01
45,ST,4501,4318,183,2012-01-01
46,SH,11629,11105,524,2012-01-01
47,TH,5236,5128,108,2012-01-01
48,BW,49486,48105,1381,2013-01-01
49,BY,42764,41355,1409,2013-01-01
50,BE,13459,12755,704,2013-01-01
51,BB,7493,7172,321,2013-01-01
52,HB,3242,3071,171,2013-01-01
53,HH,8873,8592,281,2013-01-01
54,HE,32609,31679,930,2013-01-01
55,MV,3595,3363,232,2013-01-01
56,NI,33012,31602,1410,2013-01-01
57,NW,126757,123896,2861,2013-01-01
58,RP,17254,17035,219,2013-01-01
59,SL,3578,3471,107,2013-01-01
60,SN,8517,8269,248,2013-01-01
61,ST,4353,4133,220,2013-01-01
62,SH,12293,11796,497,2013-01-01
63,TH,5262,5136,126,2013-01-01
64,BW,49665,48228,1437,2014-01-01
65,BY,42658,41239,1419,2014-01-01
66,BE,15667,14954,713,2014-01-01
67,BB,7251,6932,319,2014-01-01
68,HB,3216,3055,161,2014-01-01
69,HH,9159,8816,343,2014-01-01
70,HE,30011,29147,864,2014-01-01
71,MV,3757,3512,245,2014-01-01
72,NI,33875,32387,1488,2014-01-01
73,NW,87827,85398,2429,2014-01-01
74,RP,16647,16272,375,2014-01-01
75,SL,3659,3565,94,2014-01-01
76,SN,8930,8706,224,2014-01-01
77,ST,4759,4494,265,2014-01-01
78,SH,12547,12104,443,2014-01-01
79,TH,5728,5622,106,2014-01-01
80,BW,52400,51101,1299,2015-01-01
81,BY,43564,42032,1532,2015-01-01
82,BE,16501,15876,625,2015-01-01
83,BB,8419,8062,357,2015-01-01
84,HB,3372,3235,137,2015-01-01
85,HH,9837,9451,386,2015-01-01
86,HE,26359,25574,785,2015-01-01
87,MV,4393,4092,301,2015-01-01
88,NI,35227,33770,1457,2015-01-01
89,NW,88912,86347,2565,2015-01-01
90,RP,17380,16969,411,2015-01-01
91,SL,3961,3875,86,2015-01-01
92,SN,11324,11037,287,2015-01-01
93,ST,5412,5157,255,2015-01-01
94,SH,13233,12751,482,2015-01-01
95,TH,6369,6234,135,2015-01-01
96,BW,52592,51197,1395,2016-01-01
97,BY,43833,42495,1338,2016-01-01
98,BE,17353,16493,860,2016-01-01
99,BB,8988,8597,391,2016-01-01
100,HB,3273,3138,135,2016-01-01
101,HH,10247,9768,479,2016-01-01
102,HE,25370,24486,884,2016-01-01
103,MV,5289,4941,348,2016-01-01
104,NI,34928,33421,1507,2016-01-01
105,NW,89815,87071,2744,2016-01-01
106,RP,19079,18560,519,2016-01-01
107,SL,3842,3727,115,2016-01-01
108,SN,11855,11496,359,2016-01-01
109,ST,5791,5541,250,2016-01-01
110,SH,20662,19859,803,2016-01-01
111,TH,6896,6698,198,2016-01-01
112,BW,51724,50150,1574,2017-01-01
113,BY,44930,43342,1588,2017-01-01
114,BE,18510,17402,1108,2017-01-01
115,BB,10151,9735,416,2017-01-01
116,HB,3013,2839,174,2017-01-01
117,HH,9822,9311,511,2017-01-01
118,HE,25317,24408,909,2017-01-01
119,MV,5321,4949,372,2017-01-01
120,NI,34256,32699,1557,2017-01-01
121,NW,87091,84040,3051,2017-01-01
122,RP,18440,17977,463,2017-01-01
123,SL,3549,3460,89,2017-01-01
124,SN,12772,12380,392,2017-01-01
125,ST,5864,5579,285,2017-01-01
126,SH,14672,14009,663,2017-01-01
127,TH,6750,6608,142,2017-01-01
128,BW,51152,49339,1813,2018-01-01
129,BY,43875,42291,1584,2018-01-01
130,BE,18212,16522,1690,2018-01-01
131,BB,10171,9733,438,2018-01-01
132,HB,2863,2699,164,2018-01-01
133,HH,9596,9218,378,2018-01-01
134,HE,25101,24081,1020,2018-01-01
135,MV,5563,5223,340,2018-01-01
136,NI,33951,32095,1856,2018-01-01
137,NW,85626,82612,3014,2018-01-01
138,RP,17879,17375,504,2018-01-01
139,SL,3645,3533,112,2018-01-01
140,SN,12687,12247,440,2018-01-01
141,ST,6227,5930,297,2018-01-01
142,SH,13591,12909,682,2018-01-01
143,TH,6722,6587,135,2018-01-01
144,BW,48937,47436,1501,2019-01-01
145,BY,43073,41392,1681,2019-01-01
146,BE,15198,14409,789,2019-01-01
147,BB,9803,9332,471,2019-01-01
148,HB,2722,2583,139,2019-01-01
149,HH,9479,9015,464,2019-01-01
150,HE,23108,22232,876,2019-01-01
151,MV,5420,5024,396,2019-01-01
152,NI,34286,32414,1872,2019-01-01
153,NW,84658,81898,2760,2019-01-01
154,RP,17591,17001,590,2019-01-01
155,SL,3336,3211,125,2019-01-01
156,SN,13069,12660,409,2019-01-01
157,ST,5981,5675,306,2019-01-01
158,SH,14044,13296,748,2019-01-01
159,TH,6962,6799,163,2019-01-01
160,BW,45903,44975,928,2020-01-01
161,BY,39144,38104,1040,2020-01-01
162,BE,14371,13866,505,2020-01-01
163,BB,9453,9023,430,2020-01-01
164,HB,2762,2644,118,2020-01-01
165,HH,9326,9077,249,2020-01-01
166,HE,23229,22391,838,2020-01-01
167,MV,5433,5103,330,2020-01-01
168,NI,10471,9884,587,2020-01-01
169,NW,83308,80733,2575,2020-01-01
170,RP,16867,16359,508,2020-01-01
171,SL,3366,3277,89,2020-01-01
172,SN,12935,12536,399,2020-01-01
173,ST,5676,5676,0,2020-01-01
174,SH,13061,12446,615,2020-01-01
175,TH,6640,6534,106,2020-01-01
176,BW,43507,42464,1043,2021-01-01
177,BY,40698,39463,1235,2021-01-01
178,BE,14412,13939,473,2021-01-01
179,BB,9801,9361,440,2021-01-01
180,HB,2762,2635,127,2021-01-01
181,HH,9351,9144,207,2021-01-01
182,HE,19475,18835,640,2021-01-01
183,MV,5240,4948,292,2021-01-01
184,NI,30963,30065,898,2021-01-01
185,NW,82046,79618,2428,2021-01-01
186,RP,16867,16359,508,2021-01-01
187,SL,3537,3416,121,2021-01-01
188,SN,12968,12610,358,2021-01-01
189,ST,5580,5361,219,2021-01-01
190,SH,12282,11795,487,2021-01-01
191,TH,6389,6279,110,2021-01-01
192,BW,43507,42464,1043,2022-01-01
193,BY,39715,38463,1252,2022-01-01
194,BE,14644,14128,516,2022-01-01
195,BB,9619,9103,516,2022-01-01
196,HB,2784,2652,132,2022-01-01
197,HH,9210,8936,274,2022-01-01
198,HE,19347,18676,671,2022-01-01
199,MV,5247,4884,363,2022-01-01
200,NI,30456,29125,1331,2022-01-01
201,NW,80525,76909,3616,2022-01-01
202,RP,16231,15499,732,2022-01-01
203,SL,3325,3176,149,2022-01-01
204,SN,13404,12908,496,2022-01-01
205,ST,5643,5362,281,2022-01-01
206,SH,11748,11210,538,2022-01-01
207,TH,6399,6292,107,2022-01-01
